movie_name,total_orders
jayammi nischayammu ra..,100
xxx return of xander cage,3682
prem sankat,2
Baahubali - The Beginning,173
hyper,799
dongri ka raja,15
A Death In The Gunj,7
collateral beauty,554
Housefull 3,2
Valerian And The City Of A Thousand Planets,1
Naam Shabana,2410
Rings,302
Kung Fu Yoga,14
JUNOONIYAT,1
the crew,50
Mister,10
la la land,1492
sarvann,25
kiriti o kalobhromor,2
moh maya money,7
okkadochadu,57
john jani janardhan,17
passport,250
Aby,45
Andhhagadu,9
pilla rakshasi,2
Kadamban,15
Khaidi No.150,2
gujju rocks,2
shut in,34
khaidi no.150,1248
Hanuman Da Damdaar,8
31st october,21
babu bangaram,6
kaabil,7028
antarleen,3
Guru,209
saptagiri express,380
Badrinath Ki Dulhania,3670
Honey Bee 2: Celebrations,38
Dhantya Open,5
Machine,21
kiriti roy,28
eedu goldu yehe,5
balam,3
Pulimurugan,2
jack reacher: never go back,288
Kirik Party,25
Manasu Malligey,2
miss peregrine s home peculiar children,1
Jeena Isi Ka Naam Hai,4
thammar boyfriend,16
photo copy,3
tharle village,10
Cheliyaa,42
Running Shaadi,129
devi,20
akira,172
Cars 3,60
Wonder Woman,287
sathamaanam bhavathi,220
Dwaraka,51
chapekar brothers,1
Angamaly Diaries,95
veera sivaji,31
ore mukham,17
Mom,103
superstar,8
the legend of tarzan,5
the girl on the train,111
Oru Mexican Aparatha,81
Devi,1
robinson crusoe,3
eedu gold ehe,239
Mahi Nri,3
naruda donoruda,379
force 2,4830
Baghtos Kay Mujra Kar,60
happy bhag jayegi,59
jack reacher never go back,3
resident evil:final chapter,10
the shallows,74
Lakshyam,4
Saravanan Irukka Bayamaen,8
Raabta,139
remo,287
appatlo okadundevaadu,483
Dangal,46
hardik abhinandan,5
Fidaa,7
Onek Holo Ebar Toh Moro,1
passengers,936
welcome to central jail,1
The Great Wall,22
jo achyutananda,536
Veeram,12
Lahoriye,7
Ami Thumi,7
manalo okadu,5
doctor strange,8496
Alamara,12
vangaveeti,467
Maanagaram,16
Khoj,6
chaar sahibzaade,256
Motta Shiva Ketta Shiva,7
sultan,40
achcham yenbadhu madamaiyada,240
Super Singh,3
motor mitraan di,4
ishq junoon,3
saansein,2
mummy,50
tomake chai,4
The Angry Birds Movie,2
ae dil hai mushkil,5874
Yaman,94
One,6
badmaash,16
ism,1279
